Age,Male,Female
0,41140,40593
1,41054,40743
2,41157,40931
3,41230,41069
4,41244,41138
5,41192,41133
6,40762,40871
7,40285,40569
8,41339,39906
9,38915,37387
10,36718,35311
11,34871,33601
12,33282,32146
13,31829,30818
14,30404,29501
15,28903,28093
16,27264,26529
17,25525,24851
18,23833,23211
19,22432,21859
20,21605,21087
21,21518,21066
22,21997,21620
23,22742,22440
24,23482,23250
25,24177,24015
26,24711,24610
27,25139,25117
28,25610,25552
29,25979,26085
30,26655,26833
31,27605,27869
32,28686,29043
33,29889,30336
34,30824,31372
35,31083,31713
36,30422,31115
37,29089,29833
38,27478,28274
39,26006,26857
40,24800,25702
41,24048,24997
42,23628,24623
43,23236,24276
44,22716,23807
45,22193,23352
46,21642,22890
47,21067,22420
48,20515,21976
49,19969,21539
50,19360,21045
51,18666,20473
52,17913,19845
53,17116,19174
54,16340,18516
55,15652,17926
56,15087,17434
57,14597,16998
58,14133,16571
59,13605,16076
60,12956,15464
61,12143,14697
62,11214,13811
63,10274,12913
64,9368,12020
65,8453,11061
66,7538,10029
67,6645,8967
68,5795,7929
69,5009,6964
70,33263,53040
