Number,Gender,Age,Income,Credit,Purchase
1,Male,20s,LT2000,Fair,Yes
2,Female,30s,GE2000,Good,No
3,Female,20s,GE2000,Fair,No
4,Female,20s,GE2000,Fair,Yes
5,Female,20s,LT2000,Bad,No
6,Female,30s,GE2000,Fair,No
7,Female,30s,GE2000,Good,Yes
8,Male,20s,LT2000,Fair,No
9,Female,20s,GE2000,Good,No
10,Male,30s,GE2000,Fair,Yes
11,Female,30s,GE2000,Good,Yes
12,Female,20s,LT2000,Fair,No
13,Male,30s,GE2000,Fair,No
14,Male,30s,LT2000,Fair,Yes
15,Female,30s,GE2000,Good,Yes
16,Female,30s,GE2000,Fair,No
17,Female,20s,GE2000,Bad,No
18,Male,20s,GE2000,Bad,No
19,Male,30s,GE2000,Good,Yes
20,Male,20s,LT2000,Fair,No
